N,Triton,Torch (native),Torch (compiled)
256.000000,282.482752,273.066674,282.482752
384.000000,292.571431,292.571431,292.571431
512.000000,303.407407,303.407407,303.407407
640.000000,310.303028,305.671638,310.303028
768.000000,311.088617,311.088617,315.076934
896.000000,318.356690,318.577773,315.076917
1024.000000,318.135927,318.135927,318.135927
1152.000000,317.793096,320.556515,317.793096
1280.000000,322.361025,320.000001,320.000001
1408.000000,321.828563,321.828563,321.828563
1536.000000,321.254900,323.368435,321.254900
1664.000000,322.715142,322.715142,322.715142
1792.000000,323.977411,323.977411,323.977411
1920.000000,323.368411,323.368411,325.079368
2048.000000,324.435651,324.435651,324.435651
2176.000000,325.383178,325.383178,325.383178
2304.000000,326.230083,324.792956,324.792956
2432.000000,325.623430,325.623430,325.623430
2560.000000,326.374514,326.374514,325.099530
2688.000000,325.818179,325.818179,327.057041
2816.000000,326.492746,327.680002,326.492746
2944.000000,327.111100,325.979252,327.111100
3072.000000,327.679984,327.679984,327.679984
3200.000000,327.156553,328.205140,327.221878
3328.000000,328.691365,327.679999,327.679999
3456.000000,328.166167,328.166167,328.166167
3584.000000,328.618903,327.680012,327.680012
3712.000000,329.041539,329.041539,328.132604
3840.000000,328.556154,327.679997,328.556154
3968.000000,328.103353,328.953368,328.103353
4096.000000,329.326630,328.501244,328.501244
4224.000000,328.875923,328.077675,328.077675
4352.000000,329.229322,329.229322,328.452832
4480.000000,328.807338,328.807338,328.054913
4608.000000,329.142853,329.142853,328.775912
4736.000000,329.460862,328.746212,329.460862
4864.000000,329.762702,329.065544,328.371308
4992.000000,328.691355,328.016419,328.691355
5120.000000,328.346966,328.665990,328.336663
5248.000000,328.641884,328.000001,328.641884
5376.000000,328.305360,328.933063,328.933063
5504.000000,329.211215,329.211215,328.597011
5632.000000,328.875923,328.875923,328.276873
5760.000000,328.858418,329.142848,328.556137
5888.000000,328.537052,329.398607,329.398607
6016.000000,329.080357,329.643823,329.643823
6144.000000,329.326630,329.879196,329.326630
6272.000000,329.563229,329.563229,329.563229
6400.000000,329.260439,329.790653,329.260439
6528.000000,329.488961,329.749017,329.488961
6656.000000,329.708993,329.708993,329.708993
6784.000000,329.420328,329.920970,329.678269
6912.000000,329.142860,330.117697,329.633389
7040.000000,329.838936,329.838936,329.838936
7168.000000,329.814967,330.037412,329.563217
7296.000000,329.755429,329.762722,329.297609
7424.000000,329.497911,329.955551,329.955551
7552.000000,329.691681,329.691681,329.691681
7680.000000,329.437008,329.879183,329.437008
7808.000000,329.625326,330.060765,329.625326
7936.000000,329.807799,329.807799,328.953368
8064.000000,329.563208,329.984647,329.563208
8192.000000,329.740881,329.740881,329.740881
8320.000000,329.913269,329.913269,329.913269
8448.000000,330.080583,329.678042,329.678042
8576.000000,329.846158,329.846158,329.450181
8704.000000,329.618945,330.009469,330.009469
8832.000000,329.782961,330.168225,330.168225
8960.000000,329.563223,330.322591,329.942470
9088.000000,329.723348,329.723348,329.349954
9216.000000,330.248604,330.248604,330.248604
9344.000000,330.395572,330.395572,330.030915
9472.000000,330.178647,330.538714,330.178647
9600.000000,330.322588,330.333690,330.322588
9728.000000,330.287527,330.814026,330.462840
9856.000000,330.599585,330.599585,330.269609
9984.000000,330.390890,330.401570,330.049594
10112.000000,330.525024,330.525024,330.187751
10240.000000,329.989931,330.989909,329.989931
10368.000000,330.454196,331.113790,330.125383
10496.000000,330.582660,330.908360,330.582660
10624.000000,330.386772,330.386772,329.745862
10752.000000,329.721121,330.195772,329.879187
10880.000000,330.009478,330.009478,330.009478
11008.000000,329.827721,330.136840,330.136840
11136.000000,329.955568,330.261368,329.955568
11264.000000,329.477164,329.477164,329.778574
11392.000000,329.904063,330.202891,329.605775
11520.000000,330.026856,330.174652,330.026856
11648.000000,330.439724,329.854870,329.708980
11776.000000,329.686797,329.975492,329.686797
11904.000000,330.093572,330.379865,329.807807
12032.000000,329.648225,329.926296,329.926296
12160.000000,329.762706,329.902496,329.762706
12288.000000,329.879196,330.156174,329.879196
12416.000000,329.993363,329.993363,329.719508
12544.000000,329.834031,330.105278,330.105278
12672.000000,329.946286,330.214974,329.946286
